#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	8.12
5400	8.08
9000	8.03
12600	8
16200	7.97
19800	7.94
23400	7.92
27000	7.91
30600	7.9
34200	7.9
37800	7.9
41400	7.9
45000	7.9
48600	7.9
52200	7.9
55800	7.9
59400	7.9
63000	7.9
66600	7.9
70200	7.9
73800	7.9
77400	7.9
81000	7.9
84600	7.9
88200	7.9
91800	7.9
95400	7.9
99000	7.9
102600	7.9
106200	7.9
109800	8
113400	8
117000	8
120600	8
124200	8
127800	8
131400	8
135000	8
138600	8
142200	8
145800	8
149400	8
153000	8
156600	8
160200	8
163800	8
167400	8
171000	8
174600	8.1
178200	8.1
181800	8.1
185400	8.1
189000	8.1
192600	8.1
196200	8.1
199800	8.1
203400	8.1
207000	8.1
210600	8.1
214200	8.1
217800	8.1
221400	8.1
225000	8.1
228600	8.1
232200	8.1
235800	8.1
239400	8.1
243000	8.1
246600	8.1
250200	8.1
253800	8.1
257400	8.1
261000	8.2
264600	8.2
268200	8.2
271800	8.2
275400	8.2
279000	8.2
282600	8.2
286200	8.2
289800	8.2
293400	8.2
297000	8.2
300600	8.2
304200	8.2
307800	8.2
311400	8.2
315000	8.2
318600	8.2
322200	8.2
325800	8.2
329400	8.2
333000	8.2
336600	8.2
340200	8.2
343800	8.2
347400	8.2
351000	8.2
354600	8.2
358200	8.2
361800	8.2
365400	8.2
369000	8.2
372600	8.2
376200	8.2
379800	8.2
383400	8.2
387000	8.2
390600	8.2
394200	8.2
397800	8.2
401400	8.2
405000	8.2
408600	8.2
412200	8.2
415800	8.2
419400	8.2
423000	8.2
426600	8.2
430200	8.2
433800	8.2
437400	8.2
441000	8.2
444600	8.2
448200	8.2
451800	8.2
455400	8.2
459000	8.2
462600	8.2
466200	8.2
469800	8.2
473400	8.2
477000	8.2
480600	8.2
484200	8.2
487800	8.2
491400	8.2
495000	8.2
498600	8.2
502200	8.2
505800	8.2
509400	8.2
513000	8.2
516600	8.2
520200	8.2
523800	8.2
527400	8.2
531000	8.2
534600	8.2
538200	8.2
541800	8.2
545400	8.2
549000	8.2
552600	8.2
556200	8.2
559800	8.2
563400	8.2
567000	8.2
570600	8.2
574200	8.2
577800	8.2
581400	8.2
585000	8.2
588600	8.2
592200	8.2
595800	8.2
599400	8.2
603000	8.2
606600	8.2
610200	8.2
613800	8.2
617400	8.2
621000	8.2
624600	8.2
628200	8.3
631800	8.3
635400	8.3
639000	8.3
642600	8.3
646200	8.3
649800	8.3
653400	8.3
657000	8.3
660600	8.3
664200	8.3
667800	8.3
671400	8.3
675000	8.3
678600	8.3
682200	8.3
685800	8.3
689400	8.3
693000	8.3
696600	8.3
700200	8.4
703800	8.4
707400	8.4
711000	8.4
714600	8.4
718200	8.4
721800	8.4
725400	8.4
729000	8.4
732600	8.4
736200	8.4
739800	8.4
743400	8.4
747000	8.4
750600	8.4
754200	8.4
757800	8.4
761400	8.4
765000	8.4
768600	8.4
772200	8.4
775800	8.4
779400	8.4
783000	8.4
786600	8.4
790200	8.4
793800	8.4
797400	8.4
801000	8.4
804600	8.4
808200	8.5
811800	8.5
815400	8.5
819000	8.5
822600	8.5
826200	8.5
829800	8.5
833400	8.5
837000	8.5
840600	8.5
844200	8.5
847800	8.5
851400	8.5
855000	8.5
858600	8.5
862200	8.5
865800	8.5
869400	8.5
873000	8.5
876600	8.5
880200	8.5
883800	8.5
887400	8.5
891000	8.5
894600	8.5
898200	8.5
901800	8.5
905400	8.5
909000	8.5
912600	8.5
916200	8.5
919800	8.5
923400	8.5
927000	8.5
930600	8.5
934200	8.6
937800	8.6
941400	8.6
945000	8.6
948600	8.6
952200	8.6
955800	8.6
959400	8.6
963000	8.6
966600	8.6
970200	8.6
973800	8.6
977400	8.6
981000	8.6
984600	8.6
988200	8.6
991800	8.6
995400	8.6
999000	8.6
1002600	8.6
1006200	8.6
1009800	8.6
1013400	8.6
1017000	8.6
1020600	8.6
1024200	8.6
1027800	8.6
1031400	8.6
1035000	8.6
1038600	8.6
1042200	8.6
1045800	8.6
1049400	8.7
1053000	8.7
1056600	8.7
1060200	8.7
1063800	8.7
1067400	8.7
1071000	8.7
