#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	7.66
5400	7.66
9000	7.65
12600	7.65
16200	7.64
19800	7.64
23400	7.63
27000	7.63
30600	7.62
34200	7.62
37800	7.61
41400	7.61
45000	7.6
48600	7.59
52200	7.59
55800	7.58
59400	7.58
63000	7.58
66600	7.57
70200	7.57
73800	7.56
77400	7.56
81000	7.55
84600	7.55
88200	7.54
91800	7.54
95400	7.54
99000	7.53
102600	7.53
106200	7.52
109800	7.52
113400	7.52
117000	7.51
120600	7.51
124200	7.51
127800	7.5
131400	7.5
135000	7.5
138600	7.49
142200	7.49
145800	7.49
149400	7.48
153000	7.48
156600	7.48
160200	7.48
163800	7.47
167400	7.47
171000	7.47
174600	7.46
178200	7.46
181800	7.45
185400	7.45
189000	7.45
192600	7.44
196200	7.44
199800	7.43
203400	7.43
207000	7.42
210600	7.41
214200	7.41
217800	7.4
221400	7.39
225000	7.39
228600	7.38
232200	7.37
235800	7.36
239400	7.35
243000	7.34
246600	7.33
250200	7.32
253800	7.32
257400	7.31
261000	7.3
264600	7.29
268200	7.28
271800	7.27
275400	7.26
279000	7.25
282600	7.24
286200	7.24
289800	7.23
293400	7.22
297000	7.21
300600	7.21
304200	7.2
307800	7.19
311400	7.19
315000	7.18
318600	7.18
322200	7.17
325800	7.17
329400	7.17
333000	7.16
336600	7.16
340200	7.16
343800	7.15
347400	7.15
351000	7.15
354600	7.14
358200	7.14
361800	7.14
365400	7.13
369000	7.13
372600	7.13
376200	7.12
379800	7.12
383400	7.11
387000	7.11
390600	7.1
394200	7.09
397800	7.09
401400	7.08
405000	7.07
408600	7.06
412200	7.06
415800	7.05
419400	7.04
423000	7.03
426600	7.02
430200	7.01
433800	7
437400	6.99
441000	6.99
444600	6.98
448200	6.97
451800	6.96
455400	6.95
459000	6.94
462600	6.93
466200	6.92
469800	6.92
473400	6.91
477000	6.9
480600	6.89
484200	6.89
487800	6.88
491400	6.87
495000	6.87
498600	6.86
502200	6.86
505800	6.85
509400	6.85
513000	6.84
516600	6.84
520200	6.84
523800	6.83
527400	6.83
531000	6.83
534600	6.82
538200	6.82
541800	6.82
545400	6.81
549000	6.81
552600	6.81
556200	6.81
559800	6.8
563400	6.8
567000	6.8
570600	6.79
574200	6.79
577800	6.79
581400	6.79
585000	6.78
588600	6.78
592200	6.78
595800	6.78
599400	6.77
603000	6.77
606600	6.76
610200	6.76
613800	6.76
617400	6.75
621000	6.75
624600	6.74
628200	6.74
631800	6.73
635400	6.73
639000	6.72
642600	6.71
646200	6.71
649800	6.7
653400	6.69
657000	6.68
660600	6.68
664200	6.67
667800	6.66
671400	6.65
675000	6.64
678600	6.63
682200	6.62
685800	6.61
689400	6.6
693000	6.59
696600	6.58
700200	6.57
703800	6.57
707400	6.56
711000	6.55
714600	6.54
718200	6.53
721800	6.52
725400	6.52
729000	6.51
732600	6.51
736200	6.5
739800	6.5
743400	6.49
747000	6.49
750600	6.48
754200	6.48
757800	6.48
761400	6.48
765000	6.48
768600	6.48
772200	6.48
775800	6.48
779400	6.48
783000	6.48
786600	6.48
790200	6.48
793800	6.48
797400	6.48
801000	6.48
804600	6.49
808200	6.49
811800	6.49
815400	6.49
819000	6.5
822600	6.5
826200	6.5
829800	6.51
833400	6.51
837000	6.51
840600	6.51
844200	6.52
847800	6.52
851400	6.52
855000	6.53
858600	6.53
862200	6.54
865800	6.54
869400	6.54
873000	6.55
876600	6.55
880200	6.56
883800	6.56
887400	6.57
891000	6.57
894600	6.58
898200	6.58
901800	6.59
905400	6.59
909000	6.6
912600	6.61
916200	6.61
919800	6.62
923400	6.63
927000	6.64
930600	6.64
934200	6.65
937800	6.66
941400	6.67
945000	6.68
948600	6.68
952200	6.69
955800	6.7
959400	6.71
963000	6.72
966600	6.73
970200	6.74
973800	6.75
977400	6.75
981000	6.76
984600	6.77
988200	6.78
991800	6.79
995400	6.8
999000	6.81
1002600	6.82
1006200	6.83
1009800	6.84
1013400	6.84
1017000	6.85
1020600	6.86
1024200	6.87
1027800	6.88
1031400	6.89
1035000	6.9
1038600	6.9
1042200	6.91
1045800	6.92
1049400	6.93
1053000	6.94
1056600	6.95
1060200	6.95
1063800	6.96
1067400	6.97
1071000	6.98
1074600	6.99
1078200	6.99
1081800	7
1085400	7.01
1089000	7.01
1092600	7.02
1096200	7.03
1099800	7.04
1103400	7.04
1107000	7.05
1110600	7.06
1114200	7.07
1117800	7.07
1121400	7.08
1125000	7.09
1128600	7.1
1132200	7.1
1135800	7.11
1139400	7.12
1143000	7.13
1146600	7.14
1150200	7.15
1153800	7.16
1157400	7.17
1161000	7.18
1164600	7.19
1168200	7.2
1171800	7.21
1175400	7.22
1179000	7.24
1182600	7.25
1186200	7.26
1189800	7.27
1193400	7.29
1197000	7.3
1200600	7.32
1204200	7.33
1207800	7.34
1211400	7.36
1215000	7.37
1218600	7.38
1222200	7.4
1225800	7.41
1229400	7.42
1233000	7.43
1236600	7.45
1240200	7.46
1243800	7.47
1247400	7.48
1251000	7.49
1254600	7.5
1258200	7.51
1261800	7.52
1265400	7.53
1269000	7.53
1272600	7.54
1276200	7.55
1279800	7.55
1283400	7.56
1287000	7.56
1290600	7.57
1294200	7.57
1297800	7.58
1301400	7.58
1305000	7.58
1308600	7.59
1312200	7.59
1315800	7.59
1319400	7.59
1323000	7.59
1326600	7.6
1330200	7.6
1333800	7.6
1337400	7.6
1341000	7.6
1344600	7.6
1348200	7.6
1351800	7.6
1355400	7.6
1359000	7.6
1362600	7.6
1366200	7.6
1369800	7.6
1373400	7.6
1377000	7.6
1380600	7.6
1384200	7.6
1387800	7.6
1391400	7.6
1395000	7.6
1398600	7.6
1402200	7.6
1405800	7.6
1409400	7.6
1413000	7.6
1416600	7.6
1420200	7.6
1423800	7.6
1427400	7.6
1431000	7.6
1434600	7.6
1438200	7.6
1441800	7.6
1445400	7.6
1449000	7.6
1452600	7.6
1456200	7.61
1459800	7.61
1463400	7.61
1467000	7.61
1470600	7.61
1474200	7.61
1477800	7.61
1481400	7.61
1485000	7.61
1488600	7.61
1492200	7.61
1495800	7.61
1499400	7.61
1503000	7.61
1506600	7.6
1510200	7.6
1513800	7.6
1517400	7.6
1521000	7.59
1524600	7.59
1528200	7.59
1531800	7.58
