#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	8
5400	9.1
9000	8
12600	9.1
16200	8
19800	9.1
23400	8
27000	9.1
30600	8
34200	9.1
37800	8
41400	9.1
45000	8
48600	8.9
52200	9.1
55800	8
59400	9.1
63000	8
66600	9.1
70200	8
73800	8
77400	9.1
81000	9.1
84600	9.1
88200	8
91800	8.9
95400	9.1
99000	8.9
102600	8
106200	9.1
109800	8
113400	9.1
117000	9.1
120600	8
124200	8.9
127800	8
131400	9.1
135000	9.1
138600	8
142200	9.1
145800	9.1
149400	9.1
153000	8.9
156600	8
160200	8.9
163800	8
167400	8.9
171000	8.9
174600	8
178200	8.9
181800	8
185400	8
189000	8.9
192600	8.9
196200	8
199800	8.9
203400	8
207000	8
210600	8.9
214200	8.9
217800	8.9
221400	8.9
225000	8.9
228600	8
232200	8
235800	8.8
239400	8.8
243000	8.9
246600	8.8
250200	8.9
253800	8.8
257400	8.9
261000	8.9
264600	8
268200	8
271800	8.9
275400	8.8
279000	8.9
282600	8.8
286200	8.9
289800	8.8
293400	8.8
297000	8.8
300600	8.9
304200	8.8
307800	8.9
311400	8.9
315000	8.8
318600	8.9
322200	8.8
325800	8.8
329400	8.9
333000	8.9
336600	8.9
340200	8.9
343800	8.8
347400	8.8
351000	8.8
354600	8.8
358200	8.9
361800	8.9
365400	8.8
369000	8.9
372600	8.9
376200	8.9
379800	8.9
383400	8.9
387000	8.9
390600	8.9
394200	8.9
397800	8.9
401400	8.9
405000	8.9
408600	8.9
412200	8
415800	8.9
419400	8
423000	8
426600	8.9
430200	8.9
433800	8.9
437400	8.9
441000	8.9
444600	8
448200	8
451800	8
455400	8
459000	8
462600	8
466200	8
469800	8
473400	8
477000	8
480600	8
484200	8
487800	8
491400	8
495000	9.1
498600	8
502200	8
505800	8
509400	9.1
513000	9.1
516600	9.1
520200	9.1
523800	9.1
527400	9.1
531000	9.1
534600	9.2
538200	9.2
541800	9.1
545400	9.2
549000	9.1
552600	9.2
556200	9.2
559800	9.2
563400	9.2
567000	9.2
570600	9.3
574200	9.3
577800	9.3
581400	9.3
585000	9.3
588600	9.4
592200	9.3
595800	9.4
599400	9.4
603000	9.4
606600	9.4
610200	9.4
613800	9.4
617400	9.4
621000	9.4
624600	9.4
628200	9.5
631800	9.4
635400	9.4
639000	9.5
642600	9.5
646200	9.5
649800	9.5
653400	9.5
657000	9.6
660600	9.5
664200	9.5
667800	9.5
671400	9.6
675000	9.5
678600	9.5
682200	9.6
685800	9.6
689400	9.6
693000	9.6
696600	9.6
700200	9.6
703800	9.6
707400	9.6
711000	9.7
714600	9.7
718200	9.7
721800	9.7
725400	9.7
729000	9.7
732600	9.7
736200	9.7
739800	9.7
743400	9.7
747000	9.7
750600	9.7
754200	9.7
757800	9.7
761400	9.7
765000	9.7
768600	9.7
772200	9.7
