#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	8.92
5400	8.94
9000	8.96
12600	8.99
16200	9.01
19800	9.04
23400	9.06
27000	9.09
30600	9.11
34200	9.14
37800	9.16
41400	9.18
45000	9.2
48600	9.22
52200	9.24
55800	9.25
59400	9.26
63000	9.28
66600	9.29
70200	9.3
73800	9.31
77400	9.32
81000	9.32
84600	9.33
88200	9.34
91800	9.34
95400	9.35
99000	9.35
102600	9.36
106200	9.36
109800	9.37
113400	9.37
117000	9.38
120600	9.38
124200	9.39
127800	9.39
131400	9.4
135000	9.41
138600	9.41
142200	9.42
145800	9.43
149400	9.44
153000	9.45
156600	9.46
160200	9.47
163800	9.48
167400	9.49
171000	9.5
174600	9.51
178200	9.52
181800	9.53
185400	9.54
189000	9.54
192600	9.55
196200	9.56
199800	9.57
203400	9.58
207000	9.58
210600	9.59
214200	9.6
217800	9.6
221400	9.6
225000	9.61
228600	9.61
232200	9.61
235800	9.61
239400	9.61
243000	9.61
246600	9.61
250200	9.61
253800	9.61
257400	9.61
261000	9.61
264600	9.61
268200	9.61
271800	9.6
275400	9.6
279000	9.6
282600	9.6
286200	9.6
289800	9.6
293400	9.6
297000	9.6
300600	9.6
304200	9.6
307800	9.6
311400	9.6
315000	9.61
318600	9.61
322200	9.61
325800	9.62
329400	9.62
333000	9.63
336600	9.63
340200	9.63
343800	9.64
347400	9.64
351000	9.65
354600	9.66
358200	9.66
361800	9.67
365400	9.67
369000	9.68
372600	9.68
376200	9.68
379800	9.69
383400	9.69
387000	9.7
390600	9.7
394200	9.7
397800	9.71
401400	9.71
405000	9.71
408600	9.71
412200	9.71
415800	9.71
419400	9.71
423000	9.71
426600	9.71
430200	9.71
433800	9.71
437400	9.71
441000	9.71
444600	9.71
448200	9.71
451800	9.71
455400	9.71
459000	9.71
462600	9.7
466200	9.7
469800	9.7
473400	9.7
477000	9.7
480600	9.7
484200	9.7
487800	9.7
491400	9.7
495000	9.7
498600	9.7
502200	9.7
505800	9.7
509400	9.7
513000	9.7
516600	9.7
520200	9.7
523800	9.7
527400	9.7
531000	9.7
534600	9.7
538200	9.7
541800	9.7
545400	9.7
549000	9.7
552600	9.7
556200	9.7
559800	9.7
563400	9.7
567000	9.7
570600	9.7
574200	9.7
577800	9.7
581400	9.7
585000	9.7
588600	9.7
592200	9.7
595800	9.71
599400	9.71
603000	9.71
606600	9.71
610200	9.71
613800	9.71
617400	9.71
621000	9.71
624600	9.71
628200	9.71
631800	9.7
635400	9.7
639000	9.7
642600	9.7
646200	9.7
649800	9.7
653400	9.7
657000	9.7
660600	9.69
664200	9.69
667800	9.69
671400	9.69
675000	9.69
678600	9.68
682200	9.68
685800	9.68
689400	9.67
693000	9.67
696600	9.66
700200	9.66
703800	9.65
707400	9.65
711000	9.64
714600	9.64
718200	9.63
721800	9.63
725400	9.62
729000	9.61
732600	9.61
736200	9.6
739800	9.59
743400	9.58
747000	9.58
750600	9.57
754200	9.56
757800	9.55
761400	9.54
765000	9.53
768600	9.52
772200	9.52
775800	9.51
779400	9.5
783000	9.49
786600	9.48
790200	9.47
793800	9.46
797400	9.45
801000	9.45
804600	9.44
808200	9.43
811800	9.42
815400	9.41
819000	9.41
822600	9.4
826200	9.39
829800	9.39
833400	9.38
837000	9.38
840600	9.37
844200	9.37
847800	9.36
851400	9.36
855000	9.35
858600	9.35
862200	9.34
865800	9.34
869400	9.34
873000	9.33
876600	9.33
880200	9.33
883800	9.32
887400	9.32
891000	9.32
894600	9.31
898200	9.31
901800	9.31
905400	9.3
909000	9.3
912600	9.3
916200	9.29
919800	9.29
923400	9.29
927000	9.28
930600	9.28
934200	9.27
937800	9.27
941400	9.27
945000	9.26
948600	9.26
952200	9.25
955800	9.25
959400	9.24
963000	9.24
966600	9.24
970200	9.23
973800	9.23
977400	9.22
981000	9.22
984600	9.21
988200	9.21
991800	9.2
995400	9.2
999000	9.2
1002600	9.19
1006200	9.19
1009800	9.18
1013400	9.18
1017000	9.17
1020600	9.17
1024200	9.16
1027800	9.16
1031400	9.16
1035000	9.15
1038600	9.15
1042200	9.14
1045800	9.14
1049400	9.13
1053000	9.13
1056600	9.13
1060200	9.12
1063800	9.12
1067400	9.11
1071000	9.11
1074600	9.11
1078200	9.1
1081800	9.1
1085400	9.1
1089000	9.09
1092600	9.09
1096200	9.09
1099800	9.08
1103400	9.08
1107000	9.08
1110600	9.08
1114200	9.08
1117800	9.07
1121400	9.07
1125000	9.07
1128600	9.07
1132200	9.07
1135800	9.07
1139400	9.07
1143000	9.07
1146600	9.08
1150200	9.08
1153800	9.08
1157400	9.09
1161000	9.09
1164600	9.09
1168200	9.1
1171800	9.11
1175400	9.11
1179000	9.12
1182600	9.13
1186200	9.14
1189800	9.15
1193400	9.15
1197000	9.16
1200600	9.17
1204200	9.18
1207800	9.19
1211400	9.2
1215000	9.21
1218600	9.22
1222200	9.23
1225800	9.24
1229400	9.25
1233000	9.26
1236600	9.27
1240200	9.27
1243800	9.28
1247400	9.29
1251000	9.29
1254600	9.3
1258200	9.3
1261800	9.31
1265400	9.31
1269000	9.31
1272600	9.32
1276200	9.32
1279800	9.32
1283400	9.32
1287000	9.32
1290600	9.32
1294200	9.32
