#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	11.65
5400	11.63
9000	11.6
12600	11.58
16200	11.56
19800	11.53
23400	11.51
27000	11.49
30600	11.47
34200	11.45
37800	11.43
41400	11.42
45000	11.4
48600	11.39
52200	11.37
55800	11.36
59400	11.35
63000	11.34
66600	11.33
70200	11.32
73800	11.32
77400	11.31
81000	11.31
84600	11.3
88200	11.3
91800	11.3
95400	11.3
99000	11.29
102600	11.29
106200	11.29
109800	11.29
113400	11.29
117000	11.29
120600	11.3
124200	11.3
127800	11.3
131400	11.3
135000	11.3
138600	11.3
142200	11.3
145800	11.31
149400	11.31
153000	11.31
156600	11.31
160200	11.31
163800	11.31
167400	11.31
171000	11.31
174600	11.31
178200	11.31
181800	11.31
185400	11.31
189000	11.31
192600	11.31
196200	11.31
199800	11.31
203400	11.31
207000	11.31
210600	11.3
214200	11.3
217800	11.3
221400	11.3
225000	11.29
228600	11.29
232200	11.29
235800	11.28
239400	11.28
243000	11.27
246600	11.27
250200	11.26
253800	11.26
257400	11.25
261000	11.25
264600	11.24
268200	11.24
271800	11.23
275400	11.23
279000	11.23
282600	11.22
286200	11.22
289800	11.21
293400	11.21
297000	11.21
300600	11.2
304200	11.2
307800	11.2
311400	11.2
315000	11.19
318600	11.19
322200	11.19
325800	11.19
329400	11.19
333000	11.19
336600	11.19
340200	11.19
343800	11.19
347400	11.19
351000	11.19
354600	11.19
358200	11.19
361800	11.19
365400	11.19
369000	11.2
372600	11.2
376200	11.2
379800	11.2
383400	11.2
387000	11.2
390600	11.2
394200	11.2
397800	11.2
401400	11.2
405000	11.2
408600	11.2
412200	11.2
415800	11.2
419400	11.2
423000	11.2
426600	11.2
430200	11.2
433800	11.2
437400	11.2
441000	11.2
444600	11.2
448200	11.2
451800	11.2
455400	11.2
459000	11.2
462600	11.2
466200	11.2
469800	11.2
473400	11.2
477000	11.2
480600	11.2
484200	11.2
487800	11.2
491400	11.2
495000	11.2
498600	11.2
502200	11.21
