#1
double data2(8760,2)   # comment line
         0           19
      3600           19
      7200           19
     10800           19
     14400           19
     18000           19
     21600           19
     25200           19
     28800           19
     32400           19
     36000           16
     39600           16
     43200           16
     46800           16
     50400           16
     54000           16
     57600           16
     61200           16
     64800           19
     68400           19
     72000           19
     75600           19
     79200           19
     82800           19
     86400           19
     90000           19
     93600           19
     97200           19
    100800           19
    104400           19
    108000           19
    111600           19
    115200           19
    118800           19
    122400           16
    126000           16
    129600           16
    133200           16
    136800           16
    140400           16
    144000           16
    147600           16
    151200           19
    154800           19
    158400           19
    162000           19
    165600           19
    169200           19
    172800           19
    176400           19
    180000           19
    183600           19
    187200           19
    190800           19
    194400           19
    198000           19
    201600           19
    205200           19
    208800           16
    212400           16
    216000           16
    219600           16
    223200           19
    226800           19
    230400           19
    234000           19
    237600           19
    241200           19
    244800           19
    248400           19
    252000           19
    255600           19
    259200           19
    262800           19
    266400           19
    270000           19
    273600           19
    277200           19
    280800           19
    284400           19
    288000           19
    291600           19
    295200           16
    298800           16
    302400           16
    306000           16
    309600           16
    313200           16
    316800           16
    320400           16
    324000           19
    327600           19
    331200           19
    334800           19
    338400           19
    342000           19
    345600           19
    349200           19
    352800           19
    356400           19
    360000           19
    363600           19
    367200           19
    370800           19
    374400           19
    378000           19
    381600           16
    385200           16
    388800           16
    392400           16
    396000           16
    399600           16
    403200           16
    406800           16
    410400           19
    414000           19
    417600           19
    421200           19
    424800           19
    428400           19
    432000           19
    435600           19
    439200           19
    442800           19
    446400           19
    450000           19
    453600           19
    457200           19
    460800           19
    464400           19
    468000           19
    471600           19
    475200           19
    478800           19
    482400           19
    486000           19
    489600           19
    493200           19
    496800           19
    500400           19
    504000           19
    507600           19
    511200           19
    514800           19
    518400           19
    522000           19
    525600           19
    529200           19
    532800           19
    536400           19
    540000           19
    543600           19
    547200           19
    550800           19
    554400           19
    558000           19
    561600           19
    565200           19
    568800           19
    572400           19
    576000           19
    579600           19
    583200           19
    586800           19
    590400           19
    594000           19
    597600           19
    601200           19
    604800           19
    608400           19
    612000           19
    615600           19
    619200           19
    622800           19
    626400           19
    630000           19
    633600           19
    637200           19
    640800           16
    644400           16
    648000           16
    651600           16
    655200           16
    658800           16
    662400           16
    666000           16
    669600           19
    673200           19
    676800           19
    680400           19
    684000           19
    687600           19
    691200           19
    694800           19
    698400           19
    702000           19
    705600           19
    709200           19
    712800           19
    716400           19
    720000           19
    723600           19
    727200           16
    730800           16
    734400           16
    738000           16
    741600           16
    745200           16
    748800           16
    752400           16
    756000           19
    759600           19
    763200           19
    766800           19
    770400           19
    774000           19
    777600           19
    781200           19
    784800           19
    788400           19
    792000           19
    795600           19
    799200           19
    802800           19
    806400           19
    810000           19
    813600           16
    817200           16
    820800           16
    824400           16
    828000           19
    831600           19
    835200           19
    838800           19
    842400           19
    846000           19
    849600           19
    853200           19
    856800           19
    860400           19
    864000           19
    867600           19
    871200           19
    874800           19
    878400           19
    882000           19
    885600           19
    889200           19
    892800           19
    896400           19
    900000           16
    903600           16
    907200           16
    910800           16
    914400           16
    918000           16
    921600           16
    925200           16
    928800           19
    932400           19
    936000           19
    939600           19
    943200           19
    946800           19
    950400           19
    954000           19
    957600           19
    961200           19
    964800           19
    968400           19
    972000           19
    975600           19
    979200           19
    982800           19
    986400           16
    990000           16
    993600           16
    997200           16
   1000800           16
   1004400           16
   1008000           16
   1011600           16
   1015200           19
   1018800           19
   1022400           19
   1026000           19
   1029600           19
   1033200           19
   1036800           19
   1040400           19
   1044000           19
   1047600           19
   1051200           19
   1054800           19
   1058400           19
   1062000           19
   1065600           19
   1069200           19
   1072800           19
   1076400           19
   1080000           19
   1083600           19
   1087200           19
   1090800           19
   1094400           19
   1098000           19
   1101600           19
   1105200           19
   1108800           19
   1112400           19
   1116000           19
   1119600           19
   1123200           19
   1126800           19
   1130400           19
   1134000           19
   1137600           19
   1141200           19
   1144800           19
   1148400           19
   1152000           19
   1155600           19
   1159200           19
   1162800           19
   1166400           19
   1170000           19
   1173600           19
   1177200           19
   1180800           19
   1184400           19
   1188000           19
   1191600           19
   1195200           19
   1198800           19
   1202400           19
   1206000           19
   1209600           19
   1213200           19
   1216800           19
   1220400           19
   1224000           19
   1227600           19
   1231200           19
   1234800           19
   1238400           19
   1242000           19
   1245600           16
   1249200           16
   1252800           16
   1256400           16
   1260000           16
   1263600           16
   1267200           16
   1270800           16
   1274400           19
   1278000           19
   1281600           19
   1285200           19
   1288800           19
   1292400           19
   1296000           19
   1299600           19
   1303200           19
   1306800           19
   1310400           19
   1314000           19
   1317600           19
   1321200           19
   1324800           19
   1328400           19
   1332000           16
   1335600           16
   1339200           16
   1342800           16
   1346400           16
   1350000           16
   1353600           16
   1357200           16
   1360800           19
   1364400           19
   1368000           19
   1371600           19
   1375200           19
   1378800           19
   1382400           19
   1386000           19
   1389600           19
   1393200           19
   1396800           19
   1400400           19
   1404000           19
   1407600           19
   1411200           19
   1414800           19
   1418400           16
   1422000           16
   1425600           16
   1429200           16
   1432800           19
   1436400           19
   1440000           19
   1443600           19
   1447200           19
   1450800           19
   1454400           19
   1458000           19
   1461600           19
   1465200           19
   1468800           19
   1472400           19
   1476000           19
   1479600           19
   1483200           19
   1486800           19
   1490400           19
   1494000           19
   1497600           19
   1501200           19
   1504800           16
   1508400           16
   1512000           16
   1515600           16
   1519200           16
   1522800           16
   1526400           16
   1530000           16
   1533600           19
   1537200           19
   1540800           19
   1544400           19
   1548000           19
   1551600           19
   1555200           19
   1558800           19
   1562400           19
   1566000           19
   1569600           19
   1573200           19
   1576800           19
   1580400           19
   1584000           19
   1587600           19
   1591200           16
   1594800           16
   1598400           16
   1602000           16
   1605600           16
   1609200           16
   1612800           16
   1616400           16
   1620000           19
   1623600           19
   1627200           19
   1630800           19
   1634400           19
   1638000           19
   1641600           19
   1645200           19
   1648800           19
   1652400           19
   1656000           19
   1659600           19
   1663200           19
   1666800           19
   1670400           19
   1674000           19
   1677600           19
   1681200           19
   1684800           19
   1688400           19
   1692000           19
   1695600           19
   1699200           19
   1702800           19
   1706400           19
   1710000           19
   1713600           19
   1717200           19
   1720800           19
   1724400           19
   1728000           19
   1731600           19
   1735200           19
   1738800           19
   1742400           19
   1746000           19
   1749600           19
   1753200           19
   1756800           19
   1760400           19
   1764000           19
   1767600           19
   1771200           19
   1774800           19
   1778400           19
   1782000           19
   1785600           19
   1789200           19
   1792800           19
   1796400           19
   1800000           19
   1803600           19
   1807200           19
   1810800           19
   1814400           19
   1818000           19
   1821600           19
   1825200           19
   1828800           19
   1832400           19
   1836000           19
   1839600           19
   1843200           19
   1846800           19
   1850400           16
