#1	
double data(8760,2) #comment	
0	292.15
3600	292.15
7200	292.15
10800	292.15
14400	292.15
18000	292.15
21600	292.15
25200	292.15
28800	292.15
32400	292.15
36000	289.15
39600	289.15
43200	289.15
46800	289.15
50400	289.15
54000	289.15
57600	289.15
61200	289.15
64800	292.15
68400	292.15
72000	292.15
75600	292.15
79200	292.15
82800	292.15
86400	292.15
90000	292.15
93600	292.15
97200	292.15
100800	292.15
104400	292.15
108000	292.15
111600	292.15
115200	292.15
118800	292.15
122400	289.15
126000	289.15
129600	289.15
133200	289.15
136800	289.15
140400	289.15
144000	289.15
147600	289.15
151200	292.15
154800	292.15
158400	292.15
162000	292.15
165600	292.15
169200	292.15
172800	292.15
176400	292.15
180000	292.15
183600	292.15
187200	292.15
190800	292.15
194400	292.15
198000	292.15
201600	292.15
205200	292.15
208800	289.15
212400	289.15
216000	289.15
219600	289.15
223200	292.15
226800	292.15
230400	292.15
234000	292.15
237600	292.15
241200	292.15
244800	292.15
248400	292.15
252000	292.15
255600	292.15
259200	292.15
262800	292.15
266400	292.15
270000	292.15
273600	292.15
277200	292.15
280800	292.15
284400	292.15
288000	292.15
291600	292.15
295200	289.15
298800	289.15
302400	289.15
306000	289.15
309600	289.15
313200	289.15
316800	289.15
320400	289.15
324000	292.15
327600	292.15
331200	292.15
334800	292.15
338400	292.15
342000	292.15
345600	292.15
349200	292.15
352800	292.15
356400	292.15
360000	292.15
363600	292.15
367200	292.15
370800	292.15
374400	292.15
378000	292.15
381600	289.15
385200	289.15
388800	289.15
392400	289.15
396000	289.15
399600	289.15
403200	289.15
406800	289.15
410400	292.15
414000	292.15
417600	292.15
421200	292.15
424800	292.15
428400	292.15
432000	292.15
435600	292.15
439200	292.15
442800	292.15
446400	292.15
450000	292.15
453600	292.15
457200	292.15
460800	292.15
464400	292.15
468000	292.15
471600	292.15
475200	292.15
478800	292.15
482400	292.15
486000	292.15
489600	292.15
493200	292.15
496800	292.15
500400	292.15
504000	292.15
507600	292.15
511200	292.15
514800	292.15
518400	292.15
522000	292.15
525600	292.15
529200	292.15
532800	292.15
536400	292.15
540000	292.15
543600	292.15
547200	292.15
550800	292.15
554400	292.15
558000	292.15
561600	292.15
565200	292.15
568800	292.15
572400	292.15
576000	292.15
579600	292.15
583200	292.15
586800	292.15
590400	292.15
594000	292.15
597600	292.15
601200	292.15
604800	292.15
608400	292.15
612000	292.15
615600	292.15
