#1	
double data1(17521,2)	# Comment
0	0
1800	1
3600	2
5400	3
7200	4
9000	5
10800	6
12600	7
14400	8
16200	9
18000	10
19800	11
21600	12
23400	13
25200	14
27000	15
28800	16
30600	17
32400	18
34200	19
36000	20
37800	21
39600	22
41400	23
43200	24
45000	25
46800	26
48600	27
50400	28
52200	29
54000	30
55800	31
57600	32
59400	33
61200	34
63000	35
64800	36
66600	37
68400	38
70200	39
72000	40
73800	41
75600	42
77400	43
79200	44
81000	45
82800	46
84600	47
86400	48
88200	49
90000	50
91800	51
93600	52
95400	53
97200	54
99000	55
100800	56
102600	57
104400	58
106200	59
108000	60
109800	61
111600	62
113400	63
115200	64
117000	65
118800	66
120600	67
122400	68
124200	69
126000	70
127800	71
129600	72
131400	73
133200	74
135000	75
136800	76
138600	77
140400	78
142200	79
144000	80
145800	81
147600	82
149400	83
151200	84
153000	85
154800	86
156600	87
158400	88
160200	89
162000	90
163800	91
165600	92
167400	93
169200	94
171000	95
172800	96
174600	97
176400	98
178200	99
180000	100
181800	101
183600	102
185400	103
187200	104
189000	105
190800	106
192600	107
194400	108
196200	109
198000	110
199800	111
201600	112
203400	113
205200	114
207000	115
208800	116
210600	117
212400	118
214200	119
216000	120
217800	121
219600	122
221400	123
223200	124
225000	125
226800	126
228600	127
230400	128
232200	129
234000	130
235800	131
237600	132
239400	133
241200	134
243000	135
244800	136
246600	137
248400	138
250200	139
252000	140
253800	141
255600	142
257400	143
259200	144
261000	145
262800	146
264600	147
266400	148
268200	149
270000	150
271800	151
273600	152
275400	153
277200	154
279000	155
280800	156
282600	157
284400	158
286200	159
288000	160
289800	161
291600	162
293400	163
295200	164
297000	165
298800	166
300600	167
302400	168
304200	169
306000	170
307800	171
309600	172
311400	173
313200	174
315000	175
316800	176
318600	177
320400	178
322200	179
324000	180
325800	181
327600	182
329400	183
331200	184
333000	185
334800	186
336600	187
338400	188
340200	189
342000	190
343800	191
345600	192
347400	193
349200	194
351000	195
352800	196
354600	197
356400	198
358200	199
360000	200
361800	201
363600	202
365400	203
367200	204
369000	205
370800	206
372600	207
374400	208
376200	209
378000	210
379800	211
381600	212
383400	213
385200	214
387000	215
388800	216
390600	217
392400	218
394200	219
396000	220
397800	221
399600	222
401400	223
403200	224
405000	225
406800	226
408600	227
410400	228
412200	229
414000	230
415800	231
417600	232
419400	233
421200	234
423000	235
424800	236
426600	237
428400	238
430200	239
432000	240
433800	241
435600	242
437400	243
439200	244
441000	245
442800	246
444600	247
446400	248
448200	249
450000	250
451800	251
453600	252
455400	253
457200	254
459000	255
460800	256
462600	257
464400	258
466200	259
468000	260
469800	261
471600	262
473400	263
475200	264
477000	265
478800	266
480600	267
482400	268
484200	269
486000	270
487800	271
489600	272
491400	273
493200	274
495000	275
496800	276
498600	277
500400	278
502200	279
504000	280
